,er,AV,Accuracy
495,h2o.deepL,Qihoo-360,0.8980509745127435
496,h2o.deepL,Rising,0.917166416791604
497,h2o.deepL,SASpyware,0.914167916041979
498,h2o.deepL,SentinelOne,0.893928035982009
499,h2o.deepL,Sophos,0.9104197901049476
500,h2o.deepL,Symantec,0.896176911544228
501,h2o.deepL,Tencent,0.9085457271364314
502,h2o.deepL,TheHacker,0.9278098622834294
503,h2o.deepL,TotalDefense,0.9134182908545729
504,h2o.deepL,TrendMicro,0.901049475262369
505,h2o.deepL,TMHouseC,0.89167916041979
506,h2o.deepL,VBA32,0.89880059970015
507,h2o.deepL,VIPRE,0.893928035982009
508,h2o.deepL,ViRobot,0.9156671664167915
509,h2o.deepL,Webroot,0.9100449775112445
510,h2o.deepL,Yandex,0.896551724137931
511,h2o.deepL,ZoneAlarm,0.875937031484258
512,h2o.deepL,eGambit,0.9257871064467764
513,h2o.gbm,ALYac,0.938530734632684
514,h2o.gbm,AVG,0.9302848575712145
515,h2o.gbm,AVware,0.922038980509745
516,h2o.gbm,Ad-Aware,0.941529235382309
517,h2o.gbm,AhnLab-V3,0.93215892053973
518,h2o.gbm,Arcabit,0.9280359820089955
519,h2o.gbm,Avast,0.9190404797601199
520,h2o.gbm,Avira,0.923913043478261
521,h2o.gbm,Baidu,0.931784107946027
522,h2o.gbm,BitDefender,0.9239130434782605
523,h2o.gbm,Bkav,0.9325337331334335
524,h2o.gbm,CATQHeal,0.9351574212893555
525,h2o.gbm,CMC,0.941529235382309
526,h2o.gbm,ClamAV,0.9340329835082459
527,h2o.gbm,Comodo,0.9254122938530736
528,h2o.gbm,CrowdStrike,0.920539730134933
529,h2o.gbm,Cyren,0.9302848575712145
530,h2o.gbm,DrWeb,0.9276611694152925
531,h2o.gbm,ENOD32,0.922038980509745
532,h2o.gbm,Emsisoft,0.931409295352324
533,h2o.gbm,Endgame,0.9182908545727135
534,h2o.gbm,F-Prot,0.93215892053973
535,h2o.gbm,F-Secure,0.928035982008996
536,h2o.gbm,Fortinet,0.92616191904048
537,h2o.gbm,GData,0.928785607196402
538,h2o.gbm,Invincea,0.929160419790105
539,h2o.gbm,Jiangmin,0.934782608695652
540,h2o.gbm,K7AntiVirus,0.9269115442278865
541,h2o.gbm,K7GW,0.9280359820089955
542,h2o.gbm,Kaspersky,0.9197901049475266
543,h2o.gbm,Kingsoft,0.9413507109004735
544,h2o.gbm,MAX,0.92503748125937
545,h2o.gbm,McAfee,0.920539730134933
546,h2o.gbm,McAfee-GW,0.923913043478261
547,h2o.gbm,MicroWorld,0.931784107946027
548,h2o.gbm,Microsoft,0.92503748125937
549,h2o.gbm,NANO,0.9227886056971515
550,h2o.gbm,Paloalto,0.923913043478261
551,h2o.gbm,Panda,0.931034482758621
552,h2o.gbm,Qihoo-360,0.9261619190404795
553,h2o.gbm,Rising,0.9374062968515744
554,h2o.gbm,SASpyware,0.9355322338830585
555,h2o.gbm,SentinelOne,0.924287856071964
556,h2o.gbm,Sophos,0.9287856071964016
557,h2o.gbm,Symantec,0.921664167916042
558,h2o.gbm,Tencent,0.9340329835082459
559,h2o.gbm,TheHacker,0.952465570857397
