,er,AV,Accuracy
228,OneR,Yandex,0.828335832083958
229,OneR,ZoneAlarm,0.820839580209895
230,OneR,Zoner,0.91191904047976
231,OneR,eGambit,0.88455772113943
232,PART,ALYac,0.9036731634182911
233,PART,AVG,0.886806596701649
234,PART,AVware,0.874437781109445
235,PART,Ad-Aware,0.9036731634182911
236,PART,AhnLab-V3,0.890554722638681
237,PART,Arcabit,0.888305847076462
238,PART,Avast,0.8860569715142426
239,PART,Avira,0.883808095952024
240,PART,Baidu,0.876686656671664
241,PART,BitDefender,0.8935532233883055
242,PART,Bkav,0.8928035982008995
243,PART,CATQHeal,0.87856071964018
244,PART,CMC,0.8800599700149925
245,PART,ClamAV,0.890929535232384
246,PART,Comodo,0.8826836581709145
247,PART,CrowdStrike,0.8901799100449774
248,PART,Cyren,0.8931784107946026
249,PART,DrWeb,0.883433283358321
250,PART,ENOD32,0.87856071964018
251,PART,Emsisoft,0.887181409295352
252,PART,Endgame,0.8853073463268365
253,PART,F-Prot,0.9006746626686655
254,PART,F-Secure,0.8804347826086956
255,PART,Fortinet,0.8673163418290855
256,PART,GData,0.8804347826086956
257,PART,Invincea,0.87856071964018
258,PART,Jiangmin,0.8984257871064465
259,PART,K7AntiVirus,0.8928035982008995
260,PART,K7GW,0.88568215892054
261,PART,Kaspersky,0.878185907046477
262,PART,Kingsoft,0.807721139430285
263,PART,MAX,0.873313343328336
264,PART,McAfee,0.8913043478260869
265,PART,McAfee-GW,0.8774362818590705
266,PART,MicroWorld,0.8901799100449774
267,PART,Microsoft,0.874062968515742
268,PART,NANO,0.873688155922039
269,PART,Paloalto,0.86544227886057
270,PART,Panda,0.8898050974512746
271,PART,Qihoo-360,0.881934032983508
272,PART,Rising,0.897301349325337
273,PART,SASpyware,0.902173913043478
274,PART,SentinelOne,0.887181409295352
275,PART,Sophos,0.887181409295352
276,PART,Symantec,0.8834332833583209
277,PART,Tencent,0.8830584707646175
278,PART,TheHacker,0.8654422788605696
279,PART,TotalDefense,0.8575712143928035
280,PART,TrendMicro,0.881559220389805
281,PART,TMHouseC,0.873313343328336
282,PART,VBA32,0.8871814092953525
283,PART,VIPRE,0.8849325337331335
284,PART,ViRobot,0.8163418290854575
285,PART,Webroot,0.892053973013493
286,PART,Yandex,0.8984257871064469
287,PART,ZoneAlarm,0.8781859070464765
288,PART,Zoner,0.9186656671664165
289,PART,eGambit,0.9257871064467764
290,ada,ALYac,0.937406296851574
291,ada,AVG,0.9182908545727135
292,ada,AVware,0.9164167916041981
293,ada,Ad-Aware,0.940029985007496
294,ada,AhnLab-V3,0.931784107946027
295,ada,Arcabit,0.922788605697151
296,ada,Avast,0.9179160419790104
297,ada,Avira,0.9220389805097451
298,ada,Baidu,0.9212893553223389
299,ada,BitDefender,0.9280359820089955
300,ada,Bkav,0.932533733133433
301,ada,CATQHeal,0.9212893553223389
302,ada,CMC,0.9111694152923535
303,ada,ClamAV,0.9310344827586206
304,ada,Comodo,0.9246626686656669
305,ada,CrowdStrike,0.9321589205397305
306,ada,Cyren,0.929160419790105
307,ada,DrWeb,0.9254122938530736
308,ada,ENOD32,0.9156671664167915
309,ada,Emsisoft,0.9201649175412295
310,ada,Endgame,0.91904047976012
311,ada,F-Prot,0.9355322338830585
312,ada,F-Secure,0.92503748125937
313,ada,Fortinet,0.9096701649175409
314,ada,GData,0.9205397301349325
315,ada,Invincea,0.919415292353823
316,ada,Jiangmin,0.9302848575712145
317,ada,K7AntiVirus,0.9250374812593705
318,ada,K7GW,0.9235382308845574
319,ada,Kaspersky,0.9175412293853075
320,ada,Kingsoft,0.8485757121439279
321,ada,MAX,0.9149175412293851
322,ada,McAfee,0.9201649175412294
323,ada,McAfee-GW,0.9156671664167915
324,ada,MicroWorld,0.92616191904048
325,ada,Microsoft,0.9164167916041975
326,ada,NANO,0.916416791604198
327,ada,Paloalto,0.915292353823088
328,ada,Panda,0.921664167916042
329,ada,Qihoo-360,0.9212893553223389
330,ada,Rising,0.931034482758621
331,ada,SASpyware,0.93328335832084
332,ada,SentinelOne,0.9242878560719641
333,ada,Sophos,0.919790104947526
334,ada,Symantec,0.914542728635682
335,ada,Tencent,0.923913043478261
336,ada,TheHacker,0.9002998500749625
337,ada,TotalDefense,0.911544227886057
338,ada,TrendMicro,0.925787106446777
339,ada,TMHouseC,0.9212893553223385
340,ada,VBA32,0.922038980509745
341,ada,VIPRE,0.9179160419790104
342,ada,ViRobot,0.863193403298351
343,ada,Webroot,0.926911544227886
344,ada,Yandex,0.932533733133433
345,ada,ZoneAlarm,0.9182908545727135
346,ada,Zoner,0.937031484257871
347,ada,eGambit,0.9508995502248875
348,boosting,ALYac,0.946776611694153
349,boosting,AVG,0.9299100449775111
350,boosting,AVware,0.92616191904048
351,boosting,Ad-Aware,0.946026986506747
352,boosting,AhnLab-V3,0.938905547226387
353,boosting,Arcabit,0.934032983508246
354,boosting,Avast,0.9299100449775115
355,boosting,Avira,0.93328335832084
356,boosting,Baidu,0.9347826086956526
357,boosting,BitDefender,0.9370314842578715
358,boosting,Bkav,0.942653673163418
359,boosting,CATQHeal,0.926911544227886
360,boosting,CMC,0.917166416791604
361,boosting,ClamAV,0.9377811094452775
362,boosting,Comodo,0.93328335832084
363,boosting,CrowdStrike,0.9374062968515745
364,boosting,Cyren,0.941154422788606
365,boosting,DrWeb,0.936281859070465
366,boosting,ENOD32,0.928035982008996
367,boosting,Emsisoft,0.9299100449775111
368,boosting,Endgame,0.9329085457271364
369,boosting,F-Prot,0.94640179910045
370,boosting,F-Secure,0.9344077961019495
371,boosting,Fortinet,0.9242878560719641
372,boosting,GData,0.9359070464767615
373,boosting,Invincea,0.929535232383808
374,boosting,Jiangmin,0.941904047976012
375,boosting,K7AntiVirus,0.934032983508246
376,boosting,K7GW,0.936656671664168
377,boosting,Kaspersky,0.930284857571214
378,boosting,Kingsoft,0.850449775112444
379,boosting,MAX,0.9235382308845574
380,boosting,McAfee,0.929160419790105
381,boosting,McAfee-GW,0.9284107946026985
382,boosting,MicroWorld,0.9374062968515744
383,boosting,Microsoft,0.9287856071964016
384,boosting,NANO,0.928035982008996
385,boosting,Paloalto,0.92503748125937
386,boosting,Panda,0.931784107946027
387,boosting,Qihoo-360,0.9362818590704649
388,boosting,Rising,0.9404047976011995
389,boosting,SASpyware,0.9449025487256371
390,boosting,SentinelOne,0.932533733133433
391,boosting,Sophos,0.931784107946027
392,boosting,Symantec,0.9261619190404795
393,boosting,Tencent,0.936281859070465
394,boosting,TheHacker,0.9062968515742129
395,boosting,TotalDefense,0.916791604197901
396,boosting,TrendMicro,0.931034482758621
397,boosting,TMHouseC,0.929535232383808
398,boosting,VBA32,0.9299100449775111
