,er,AV,Accuracy
69,J48,CATQHeal,0.9336581709145425
70,J48,CMC,0.9299100449775111
71,J48,ClamAV,0.938905547226387
72,J48,Comodo,0.9257871064467765
73,J48,CrowdStrike,0.9224137931034484
74,J48,Cyren,0.9254122938530736
75,J48,DrWeb,0.924287856071964
76,J48,ENOD32,0.926911544227886
77,J48,Emsisoft,0.9280359820089955
78,J48,Endgame,0.92616191904048
79,J48,F-Prot,0.9381559220389805
80,J48,F-Secure,0.9257871064467764
81,J48,Fortinet,0.93215892053973
82,J48,GData,0.92503748125937
83,J48,Invincea,0.9254122938530736
84,J48,Jiangmin,0.9347826086956526
85,J48,K7AntiVirus,0.932533733133433
86,J48,K7GW,0.9205397301349325
87,J48,Kaspersky,0.9310344827586206
88,J48,Kingsoft,0.9359070464767615
89,J48,MAX,0.927286356821589
90,J48,McAfee,0.921664167916042
91,J48,McAfee-GW,0.920914542728636
92,J48,MicroWorld,0.9272863568215894
93,J48,Microsoft,0.9276611694152925
94,J48,NANO,0.9246626686656669
95,J48,Paloalto,0.93328335832084
96,J48,Panda,0.931784107946027
97,J48,Qihoo-360,0.9231634182908545
98,J48,Rising,0.9332833583208395
99,J48,SASpyware,0.9381559220389806
100,J48,SentinelOne,0.9284107946026989
101,J48,Sophos,0.9287856071964016
102,J48,Symantec,0.93328335832084
103,J48,Tencent,0.9299100449775115
104,J48,TheHacker,0.929160419790105
105,J48,TotalDefense,0.938905547226387
106,J48,TrendMicro,0.937406296851574
107,J48,TMHouseC,0.922788605697151
108,J48,VBA32,0.931409295352324
109,J48,VIPRE,0.9299100449775115
110,J48,ViRobot,0.935907046476762
111,J48,Webroot,0.9329085457271364
112,J48,Yandex,0.9284107946026989
113,J48,ZoneAlarm,0.9269115442278865
114,J48,Zoner,0.8875562218890555
115,J48,eGambit,0.9392803598200901
116,JRip,ALYac,0.9400299850074965
117,JRip,AVG,0.9355322338830585
118,JRip,AVware,0.9347826086956526
119,JRip,Ad-Aware,0.9381559220389806
120,JRip,AhnLab-V3,0.9434032983508245
121,JRip,Arcabit,0.942653673163418
122,JRip,Avast,0.9404047976011995
123,JRip,Avira,0.935907046476762
124,JRip,Baidu,0.9437781109445276
125,JRip,BitDefender,0.9355322338830585
126,JRip,Bkav,0.9407796101949024
127,JRip,CATQHeal,0.9411544227886055
128,JRip,CMC,0.9351574212893555
129,JRip,ClamAV,0.9449025487256371
130,JRip,Comodo,0.929160419790105
131,JRip,CrowdStrike,0.9411544227886055
132,JRip,Cyren,0.936656671664168
133,JRip,DrWeb,0.935907046476762
134,JRip,ENOD32,0.9396551724137935
135,JRip,Emsisoft,0.9381559220389806
136,JRip,Endgame,0.9329085457271364
137,JRip,F-Prot,0.942278860569715
138,JRip,F-Secure,0.936656671664168
139,JRip,Fortinet,0.9407796101949024
140,JRip,GData,0.9355322338830585
141,JRip,Invincea,0.940029985007496
142,JRip,Jiangmin,0.93928035982009
143,JRip,K7AntiVirus,0.9377811094452775
144,JRip,K7GW,0.9355322338830585
145,JRip,Kaspersky,0.9347826086956526
146,JRip,Kingsoft,0.9362818590704649
147,JRip,MAX,0.93215892053973
148,JRip,McAfee,0.9329085457271364
149,JRip,McAfee-GW,0.9381559220389805
150,JRip,MicroWorld,0.940029985007496
151,JRip,Microsoft,0.941529235382309
152,JRip,NANO,0.935532233883059
153,JRip,Paloalto,0.941529235382309
154,JRip,Panda,0.9381559220389806
155,JRip,Qihoo-360,0.9314092953523235
156,JRip,Rising,0.9471514242878565
157,JRip,SASpyware,0.952773613193403
158,JRip,SentinelOne,0.9389055472263865
159,JRip,Sophos,0.9404047976011995
160,JRip,Symantec,0.935532233883059
161,JRip,Tencent,0.943778110944528
162,JRip,TheHacker,0.9359070464767615
163,JRip,TotalDefense,0.9512743628185905
164,JRip,TrendMicro,0.941154422788606
165,JRip,TMHouseC,0.9396551724137929
166,JRip,VBA32,0.937406296851574
167,JRip,VIPRE,0.9332833583208395
168,JRip,ViRobot,0.934782608695652
169,JRip,Webroot,0.9400299850074965
170,JRip,Yandex,0.938905547226387
171,JRip,ZoneAlarm,0.943028485757121
172,JRip,Zoner,0.896176911544228
173,JRip,eGambit,0.9482758620689655
174,OneR,ALYac,0.8695652173913044
175,OneR,AVG,0.86544227886057
176,OneR,AVware,0.861319340329835
177,OneR,Ad-Aware,0.8796851574212889
178,OneR,AhnLab-V3,0.886806596701649
179,OneR,Arcabit,0.881184407796102
180,OneR,Avast,0.873688155922039
181,OneR,Avira,0.8800599700149925
182,OneR,Baidu,0.874437781109445
183,OneR,BitDefender,0.868815592203898
184,OneR,Bkav,0.873688155922039
185,OneR,CATQHeal,0.87856071964018
186,OneR,CMC,0.8665667166416795
187,OneR,ClamAV,0.8823088455772115
188,OneR,Comodo,0.8609445277361321
189,OneR,CrowdStrike,0.865817091454273
190,OneR,Cyren,0.8643178410794605
191,OneR,DrWeb,0.871064467766117
192,OneR,ENOD32,0.8744377811094455
193,OneR,Emsisoft,0.8725637181409295
194,OneR,Endgame,0.8744377811094455
195,OneR,F-Prot,0.8691904047976015
196,OneR,F-Secure,0.8699400299850075
197,OneR,Fortinet,0.87256371814093
198,OneR,GData,0.8598200899550225
199,OneR,Invincea,0.8703148425787105
200,OneR,Jiangmin,0.8834332833583205
201,OneR,K7AntiVirus,0.87256371814093
202,OneR,K7GW,0.8609445277361315
203,OneR,Kaspersky,0.88455772113943
204,OneR,Kingsoft,0.8605697151424285
205,OneR,MAX,0.859820089955022
206,OneR,McAfee,0.8605697151424285
207,OneR,McAfee-GW,0.865817091454273
208,OneR,MicroWorld,0.8721889055472265
209,OneR,Microsoft,0.8774362818590705
210,OneR,NANO,0.8751874062968514
211,OneR,Paloalto,0.8665667166416791
212,OneR,Panda,0.87856071964018
213,OneR,Qihoo-360,0.8706896551724139
214,OneR,Rising,0.8796851574212895
215,OneR,SASpyware,0.884182908545727
216,OneR,SentinelOne,0.8706896551724135
217,OneR,Sophos,0.8770614692653675
